YR	MON	DAY	Z500	Z500zonal	Z500merid
2051	3	1	0.26	-0.07	1.59
2051	3	2	0.26	-0.25	0.95
2051	3	3	0.05	-0.16	-0.04
2051	3	4	-0.21	-0.16	-0.93
2051	3	5	-0.85	-0.85	-1.49
2051	3	6	-0.54	1.66	0.06
2051	3	7	0.49	0.71	-0.73
2051	3	8	0.33	-0.59	-2.85
2051	3	9	0.28	-0.33	-1.64
2051	3	10	0.05	-0.68	-1.94
2051	3	11	-0.78	-1.02	-1.38
2051	3	12	-0.73	0.53	-0.48
2051	3	13	-0.31	1.32	0.52
2051	3	14	-0.21	0.19	1.62
2051	3	15	-0.40	-0.77	1.49
2051	3	16	-0.54	0.02	0.82
2051	3	17	-0.99	-0.76	-0.17
2051	3	18	-1.08	0.79	-0.23
2051	3	19	0.98	2.35	0.26
2051	3	20	0.98	-0.16	1.59
2051	3	21	0.63	-0.50	-0.66
2051	3	22	0.14	-0.85	-1.76
2051	3	23	-0.49	-0.59	-1.20
2051	3	24	-1.29	0.71	-1.39
2051	3	25	-0.09	4.43	-0.30
2051	3	26	0.37	-0.25	-0.66
2051	3	27	-0.24	-0.07	-0.72
2051	3	28	0.49	0.19	-1.30
2051	3	29	0.05	-0.42	-1.06
2051	3	30	0.59	0.44	0.90
2051	3	31	0.82	0.02	1.38
