YR	MON	DAY	PREC	Z500Z	500zonal	Z500merid
2011	4	1	0.00	0.47	0.44	-0.53
2011	4	2	0.00	0.42	0.53	0.64
2011	4	3	0.00	0.42	0.53	1.47
2011	4	4	0.00	-0.31	-0.85	1.56
2011	4	5	0.00	-0.49	-0.33	0.06
2011	4	6	0.00	-0.85	-0.68	-0.02
2011	4	7	2.40	-0.80	0.44	-0.25
2011	4	8	0.05	-0.24	0.44	1.28
2011	4	9	0.00	0.47	0.53	1.44
2011	4	10	0.00	0.66	-0.33	1.87
2011	4	11	2.16	0.70	-0.68	1.03
2011	4	12	0.33	0.75	0.45	-1.06
2011	4	13	0.00	0.40	-0.59	1.89
2011	4	14	0.00	0.09	-0.59	0.17
2011	4	15	0.00	0.14	0.45	1.01
2011	4	16	0.00	-0.80	-0.07	0.07
2011	4	17	0.38	-0.61	0.36	-0.12
2011	4	18	0.42	-0.24	0.62	0.22
2011	4	19	0.09	-0.02	0.97	-0.47
2011	4	20	0.00	-0.14	0.01	-0.67
2011	4	21	0.00	-0.40	-0.77	1.49
2011	4	22	0.00	-0.21	0.36	-0.50
2011	4	23	0.75	-0.82	-1.02	0.26
2011	4	24	1.22	-0.92	0.88	-0.10
2011	4	25	0.00	-0.96	0.19	0.67
2011	4	26	0.89	-0.87	0.54	-1.31
2011	4	27	0.14	-0.89	0.02	0.21
2011	4	28	3.38	-1.13	0.45	0.45
2011	4	29	1.27	-0.94	1.05	-1.36
2011	4	30	0.33	-0.17	0.62	-0.07
2011	5	1	0.00	0.21	-0.08	0.65
2011	5	2	0.00	0.28	-0.25	-0.49
2011	5	3	0.00	-0.40	-1.03	-1.00
2011	5	4	0.00	-0.07	0.27	-1.35
2011	5	5	0.00	0.00	0.27	-0.18
2011	5	6	4.14	0.47	0.71	0.21
2011	5	7	0.00	0.33	-0.59	1.52
2011	5	8	0.00	0.12	-0.16	1.11
2011	5	9	0.00	0.02	-0.07	0.92
2011	5	10	0.00	-0.07	-0.50	0.98
2011	5	11	0.00	-0.05	-0.16	1.30
2011	5	12	0.00	-0.05	-0.42	1.98
2011	5	13	0.00	-0.17	-0.68	1.98
2011	5	14	5.08	-0.33	0.71	-0.37
2011	5	15	0.00	0.02	0.45	-0.98
2011	5	16	13.53	0.33	1.66	-1.13
2011	5	17	1.13	0.84	0.19	0.65
2011	5	18	0.00	0.77	-0.08	0.88
2011	5	19	0.00	0.42	-0.42	1.62
2011	5	20	0.00	0.21	-0.42	-1.31
2011	5	21	0.00	0.05	-0.59	-0.96
2011	5	22	0.00	-0.26	-0.85	-0.96
2011	5	23	28.20	-0.02	1.05	-0.77
2011	5	24	3.38	0.68	0.62	-0.23
2011	5	25	0.00	0.82	0.10	2.18
2011	5	26	0.00	0.80	-0.16	0.19
2011	5	27	0.00	-0.31	-2.06	-0.69
2011	5	28	7.90	0.02	2.26	0.05
2011	5	29	0.00	-0.59	-1.80	-1.30
2011	5	30	0.00	-1.03	0.10	-1.52
2011	5	31	11.28	-0.35	-0.33	0.17
2011	6	1	3.38	-0.56	0.79	-0.16
2011	6	2	3.38	-0.31	0.79	0.11
2011	6	3	1.13	0.42	0.70	0.74
2011	6	4	0.00	0.42	-0.08	0.67
2011	6	5	0.00	0.02	-0.59	1.81
2011	6	6	0.00	0.40	1.32	-1.35
2011	6	7	0.00	0.84	0.36	0.22
2011	6	8	0.00	0.77	-0.25	-1.94
2011	6	9	0.00	0.19	-1.72	-1.05
2011	6	10	0.00	-0.17	-0.33	0.09
2011	6	11	16.92	0.21	1.05	-0.60
2011	6	12	0.00	0.12	-0.68	-0.60
2011	6	13	9.59	0.05	0.27	-0.67
2011	6	14	3.95	0.00	-0.25	-0.78
2011	6	15	0.00	0.07	0.19	-1.90
2011	6	16	0.00	-0.40	-0.42	-0.96
2011	6	17	0.00	-0.02	1.14	0.19
2011	6	18	5.08	0.63	1.75	0.17
2011	6	19	0.00	1.06	0.45	0.49
2011	6	20	0.00	1.34	0.27	0.42
2011	6	21	0.00	1.45	0.36	0.48
2011	6	22	0.00	1.38	-0.33	1.05
2011	6	23	0.00	1.13	-0.25	1.81
2011	6	24	0.00	0.63	-1.11	0.95
2011	6	25	0.00	0.16	-0.33	0.66
2011	6	26	0.00	0.26	0.02	0.17
2011	6	27	0.00	0.84	0.88	1.52
2011	6	28	0.00	1.03	-0.33	0.62
2011	6	29	0.00	0.61	-0.50	0.06
2011	6	30	1.13	0.44	-0.25	-1.17
2011	7	1	30.45	0.40	0.10	-0.54
2011	7	2	8.46	0.42	-0.16	-0.87
2011	7	3	3.95	0.59	0.10	-1.39
2011	7	4	0.00	0.19	-0.94	-1.43
2011	7	5	1.13	0.21	0.88	0.05
2011	7	6	6.77	0.91	0.53	-0.87
2011	7	7	0.00	1.17	0.53	-0.77
2011	7	8	0.00	1.13	0.10	-0.71
