Yr	Mon	Candidate_T(degC)	Reference_T(degC)
2000	1	20.0	26.5
2000	2	22.2	29.2
2000	3	19.4	26.3
2000	4	9.9	16.7
2000	5	2.0	8.7
2000	6	0.1	8.9
2000	7	-2.2	4.6
2000	8	-3.5	4.1
2000	9	5.0	11.2
2000	10	13.0	19.0
2000	11	14.9	23.4
2000	12	19.2	26.2
2001	1	23.4	29.9
2001	2	19.6	25.9
2001	3	18.4	26.2
2001	4	8.7	14.7
2001	5	-0.5	6.5
2001	6	-1.8	6.4
2001	7	-7.0	0.2
2001	8	-1.2	5.6
2001	9	4.0	11.0
2001	10	8.7	14.7
2001	11	17.5	24.0
2001	12	21.1	28.7
2002	1	26.2	33.2
2002	2	24.0	30.2
2002	3	20.9	25.9
2002	4	8.0	12.9
2002	5	-2.2	4.2
2002	6	-5.0	2.1
2002	7	-8.6	-2.7
2002	8	-7.0	-0.4
2002	9	-0.6	6.8
2002	10	9.7	15.0
2002	11	17.9	25.1
2002	12	19.7	25.0
2003	1	22.4	28.3
2003	2	19.8	25.9
2003	3	15.4	22.4
2003	4	3.5	10.2
2003	5	0.9	6.0
2003	6	-2.7	3.6
2003	7	-5.1	-0.1
2003	8	-0.1	6.5
2003	9	1.5	6.0
2003	10	12.7	18.0
2003	11	23.2	29.5
2003	12	18.2	24.4
2004	1	22.9	30.9
2004	2	22.5	28.7
2004	3	13.9	20.5
2004	4	9.1	15.6
2004	5	5.8	13.6
2004	6	-5.9	1.4
2004	7	-6.8	0.4
2004	8	-1.8	4.6
2004	9	2.3	9.6
2004	10	14.8	23.3
2004	11	16.1	23.4
2004	12	20.5	26.6
2005	1	28.0	36.5
2005	2	24.7	31.2
2005	3	17.2	25.7
2005	4	9.1	15.5
2005	5	-0.2	6.8
2005	6	-1.8	4.0
2005	7	-9.1	-2.1
2005	8	-2.2	5.0
2005	9	2.5	9.8
2005	10	7.7	14.7
2005	11	16.7	23.6
2005	12	23.5	30.9
2006	1	28.7	35.7
2006	2	15.9	23.6
2006	3	16.2	23.4
2006	4	10.0	16.4
2006	5	4.9	12.3
2006	6	4.3	11.6
2006	7	-1.9	4.6
2006	8	-2.6	5.1
2006	9	5.1	11.1
2006	10	10.4	17.6
2006	11	15.9	22.9
2006	12	21.0	28.0
2007	1	28.7	35.7
2007	2	26.3	33.8
2007	3	15.4	23.6
2007	4	10.9	17.0
2007	5	-0.5	6.0
2007	6	-3.6	3.9
2007	7	-9.3	-2.1
2007	8	-5.4	2.0
2007	9	4.9	11.4
2007	10	12.3	18.5
2007	11	20.6	26.8
2007	12	20.5	27.9
2008	1	21.0	27.6
2008	2	20.7	29.4
2008	3	15.9	24.1
2008	4	15.0	23.3
2008	5	2.3	8.8
2008	6	0.2	7.7
2008	7	-4.5	3.2
2008	8	-2.2	6.2
2008	9	5.0	12.5
2008	10	14.1	20.7
2008	11	22.4	29.9
2008	12	24.7	31.8
2009	1	26.8	33.3
2009	2	23.7	31.3
2009	3	15.4	23.8
2009	4	9.3	17.8
2009	5	3.5	11.3
2009	6	-3.8	3.1
2009	7	-4.5	3.0
2009	8	-4.7	2.8
2009	9	3.3	11.8
2009	10	8.8	16.5
2009	11	15.0	22.0
2009	12	20.1	27.8
2010	1	21.0	28.7
2010	2	22.1	30.3
2010	3	13.4	20.8
2010	4	10.4	16.7
2010	5	-2.5	5.0
2010	6	-0.2	6.5
2010	7	-5.7	1.5
2010	8	-5.3	1.7
2010	9	-4.3	3.5
2010	10	12.0	18.5
2010	11	13.6	22.0
2010	12	16.9	25.5
2011	1	22.0	29.5
2011	2	20.2	26.6
2011	3	13.8	21.3
2011	4	9.1	15.6
2011	5	-3.9	3.1
2011	6	-6.2	1.5
2011	7	-13.0	-4.5
2011	8	-5.1	2.7
2011	9	2.2	9.9
2011	10	13.8	21.0
2011	11	19.4	27.9
2011	12	21.3	27.8
